full_name,university,age,study_hours,missed_classes,sleep_hours,shoe_size,grade
Ava Garcia,University of Toronto,26,3.211341361,11,6.951599308,44,0
Mason Miller,Harvard University,25,3.82271856,4,7.894432869,41,28.10463041
Liam Johnson,University of Cambridge,18,2.672769056,7,7.112228196,45,5.573513193
Sophia Wilson,Harvard University,25,4.019346514,7,6.804755558,39,18.39469578
Isabella Williams,Stanford University,26,5.032738913,3,5.954568364,44,43.57374813
Ava Miller,Stanford University,19,3.391239852,7,7.086583884,43,8.581609058
Emma Brown,Stanford University,18,3.901711722,5,7.885884677,39,26.82176018
Isabella Martinez,ETH Zurich,24,4.190143992,2,5.627993211,47,37.44387672
Mason Johnson,University of Melbourne,21,3.098779528,9,7.104968504,42,0
Olivia Wilson,University of Cambridge,21,3.724092482,6,7.279651542,40,14.60542061
Noah Williams,Massachusetts Institute of Technology,26,3.512592401,3,6.13832226,39,29.98397106
Emma Martinez,Stanford University,21,3.597676099,6,6.294572434,42,20.43039718
Olivia Johnson,ETH Zurich,26,2.726990216,3,7.276733019,42,23.22306733
Lucas Martinez,University of Melbourne,22,3.524510174,2,5.639894778,42,43.8246623
Emma Miller,Stanford University,22,3.997998291,8,7.419908458,41,15.00392238
Isabella Johnson,Massachusetts Institute of Technology,25,4.951143608,4,5.925574752,43,47.43685102
Elijah Williams,Harvard University,24,4.459270826,5,8.275424432,41,26.55113849
Sophia Davis,ETH Zurich,26,5.653182458,4,9.805393294,38,19.91807535
Mason Williams,Harvard University,20,2.732652437,3,5.967091838,42,13.56933366
Mason Martinez,University of Cambridge,24,4.372320637,4,7.641049435,37,44.96891545
Olivia Brown,University of Cambridge,22,3.683342006,3,6.127909714,43,30.76126578
Liam Johnson,Massachusetts Institute of Technology,20,5.689802933,11,8.249145009,40,7.191642956
Isabella Johnson,Massachusetts Institute of Technology,20,2.691701715,6,5.481689909,42,0
Liam Williams,ETH Zurich,19,2.660278158,5,7.57670411,45,3.541218895
Liam Brown,Massachusetts Institute of Technology,22,2.900607355,5,5.95241324,40,4.921577965
Elijah Davis,Harvard University,22,1.376104276,5,6.751618493,44,0
Sophia Williams,University of Oxford,19,2.974244978,3,5.76276967,41,27.82986814
Isabella Jones,ETH Zurich,23,2.740867338,6,7.986820565,46,0
Liam Garcia,University of Oxford,25,3.650393786,4,5.995623575,41,16.6081339
Sophia Wilson,Stanford University,22,3.841755976,5,7.662357111,40,19.21913435
Ava Martinez,University of Toronto,25,5.376170839,3,6.587082366,43,60.6156231
Elijah Martinez,Massachusetts Institute of Technology,18,4.450423838,7,6.862633154,41,20.99761295
Liam Martinez,University of Cambridge,22,2.923096344,3,7.177307089,40,34.74526938
Ava Martinez,University of Toronto,25,2.601585329,6,6.085810394,41,0.657757401
Lucas Miller,ETH Zurich,19,3.991919172,7,7.252440536,42,23.75259239
Sophia Miller,ETH Zurich,21,2.179766793,1,8.836401477,45,8.963447543
Noah Johnson,University of Oxford,25,5.331458766,6,6.066286257,38,36.92379608
Isabella Smith,Massachusetts Institute of Technology,25,4.679440121,4,8.406172172,42,37.8013794
Sophia Miller,Massachusetts Institute of Technology,20,3.030824348,2,8.79771716,43,20.55679129
Lucas Williams,University of Melbourne,22,1.786865471,2,6.020614013,42,16.36030066
Olivia Garcia,University of Cambridge,19,4.853872374,5,5.253934474,45,32.14665139
Liam Miller,University of Melbourne,26,3.385460155,5,7.36235308,42,18.31513483
Elijah Jones,Stanford University,25,4.737816312,3,6.343110973,42,48.11690561
Emma Martinez,University of Melbourne,21,1.905572341,5,9.242323863,43,0
Elijah Garcia,University of Toronto,20,2.900624977,11,7.041769049,42,0
Sophia Jones,University of Toronto,26,3.5052437,2,6.03736071,41,39.67513824
Lucas Wilson,Harvard University,19,3.546980594,6,5.623408587,43,14.28271389
Emma Miller,University of Toronto,18,3.049934529,5,8.307885951,41,9.688781691
Noah Williams,Stanford University,22,4.122849932,3,6.314579231,41,40.78371985
Noah Miller,University of Oxford,19,2.432379571,4,7.052594559,41,8.512606953
Isabella Wilson,Massachusetts Institute of Technology,22,3.357620515,10,8.146963294,45,0
Emma Brown,Stanford University,19,3.620295632,1,6.418889978,36,46.95806309
Isabella Martinez,ETH Zurich,23,4.014438834,8,6.944885406,43,19.42933675
Olivia Jones,Massachusetts Institute of Technology,20,4.211614878,3,6.980117908,42,44.02174258
Elijah Brown,Stanford University,23,2.375357908,5,7.819989414,39,2.008528249
Emma Miller,Harvard University,24,1.965885829,4,7.708893203,43,0
Liam Johnson,Harvard University,21,4.777676822,11,6.735863522,43,4.672320789
Lucas Davis,University of Melbourne,21,3.832314012,3,7.076378874,43,42.35499392
Isabella Jones,University of Melbourne,19,2.751513463,4,6.553865186,37,15.54733248
Emma Williams,University of Melbourne,24,5.051151976,3,5.226865112,45,40.51283368
Isabella Jones,University of Cambridge,18,3.615674634,3,7.309121029,41,37.8904651
Mason Martinez,University of Toronto,20,4.679297184,8,9.270630113,43,0
Emma Davis,University of Cambridge,20,3.567518481,1,5.939537031,43,33.92870668
Noah Brown,Harvard University,19,5.560747925,5,6.072364348,40,49.43474481
Olivia Williams,Harvard University,18,5.255340842,7,5.955126674,43,33.31431333
Emma Williams,ETH Zurich,21,3.251035852,3,7.869510134,41,28.26317956
Emma Williams,Stanford University,20,4.471570951,7,7.538182545,38,29.95914045
Sophia Williams,Harvard University,18,4.14537595,5,6.809754769,44,36.96622333
Lucas Brown,Harvard University,18,4.868631558,7,5.898377126,40,19.62466131
Mason Garcia,University of Melbourne,23,2.535076539,5,7.11085215,40,12.03117545
Olivia Williams,University of Toronto,23,4.18605146,7,5.122453447,41,10.71140879
Mason Miller,University of Melbourne,19,4.558424487,5,7.17211188,43,39.05456153
Emma Martinez,University of Oxford,20,1.741260514,4,8.045829263,42,0
Emma Smith,University of Melbourne,25,2.316741487,5,5.498561036,43,0
Olivia Miller,ETH Zurich,20,1.460767822,11,5.160978068,39,0
Ava Johnson,University of Toronto,19,3.230593166,7,8.89532547,41,0
Olivia Johnson,University of Oxford,19,4.217542256,6,6.265888433,42,36.42732079
Olivia Davis,Massachusetts Institute of Technology,24,5.002357052,3,8.363137415,46,48.54782659
Lucas Garcia,Massachusetts Institute of Technology,19,3.57409478,0,6.815202802,42,50.37817935
Liam Williams,Stanford University,22,5.128615546,10,6.80565422,44,23.67480366
Mason Martinez,Massachusetts Institute of Technology,26,2.119898542,5,7.526095239,42,0
Olivia Wilson,Massachusetts Institute of Technology,21,1.796617561,5,5.939201372,41,0
Ava Jones,University of Cambridge,18,3.444452301,3,7.158996572,42,30.32620355
Olivia Williams,Harvard University,24,3.884065449,4,6.542212702,42,33.89854121
Ava Davis,Harvard University,24,3.467305252,2,5.415407868,43,28.72495151
Ava Martinez,University of Oxford,19,1.4325579,2,7.40497849,45,3.067167604
Ava Martinez,University of Cambridge,22,3.41087996,7,6.684030632,43,14.20249861
Noah Martinez,Massachusetts Institute of Technology,21,2.195530499,3,6.811570206,44,10.69185167
Elijah Brown,University of Melbourne,22,4.169672549,1,5.547806868,40,43.9893287
Sophia Davis,Massachusetts Institute of Technology,20,3.866598246,3,8.909680441,41,14.31317816
Liam Martinez,Stanford University,23,2.560120214,7,8.052057024,41,0
Mason Martinez,Harvard University,26,2.986133083,5,8.156987061,43,4.808344477
Noah Davis,University of Toronto,19,2.440786478,5,6.633466357,41,10.65866473
Sophia Jones,ETH Zurich,23,3.437320903,4,4.924980533,43,3.48808543
Emma Brown,University of Toronto,22,4.455142321,5,9.343500859,40,6.930815789
Ava Jones,Massachusetts Institute of Technology,25,2.514273954,5,6.92668299,42,5.459555458
Liam Garcia,Harvard University,26,4.004046516,3,6.101440245,43,47.15965141
Isabella Smith,University of Melbourne,22,2.969742382,3,7.500161889,38,27.4237774
Elijah Miller,University of Oxford,23,2.707127168,6,8.400544946,46,0
Lucas Williams,ETH Zurich,24,3.39296964,6,6.972339333,41,14.34083842
Lucas Martinez,Harvard University,23,2.464757678,4,8.534290202,38,6.70599944
Elijah Jones,Harvard University,22,2.946350695,9,8.299599926,42,0
Ava Jones,University of Toronto,25,2.302122107,6,5.708342575,42,0
Lucas Jones,Harvard University,23,5.464725133,5,6.191451873,42,51.88148838
Olivia Davis,Massachusetts Institute of Technology,18,3.535263552,5,8.149044596,44,10.70748777
Mason Wilson,Harvard University,26,2.800274492,4,3.744864923,43,0
Ava Johnson,University of Cambridge,18,3.713979911,10,6.820653168,43,0
Ava Jones,University of Oxford,18,3.38767195,6,5.283002558,43,0
Elijah Brown,Stanford University,20,3.2790304,2,6.428135438,42,45.79989642
Noah Davis,Massachusetts Institute of Technology,26,4.1141667,4,6.641415893,46,34.90767307
Lucas Garcia,Massachusetts Institute of Technology,25,4.25750771,3,6.570106747,39,47.47713219
Noah Martinez,University of Oxford,23,2.969498852,2,6.337286497,42,25.54049699
Isabella Brown,Massachusetts Institute of Technology,23,2.924181759,5,5.68342762,42,1.812646028
Ava Smith,Stanford University,20,3.224948303,6,9.75029352,44,0
Lucas Miller,University of Cambridge,26,1.198078835,5,9.240954405,40,0
Liam Smith,University of Melbourne,21,1.984808938,10,5.605521016,39,0
Elijah Wilson,Harvard University,22,4.866874267,5,8.898540102,42,22.70781938
Elijah Martinez,University of Melbourne,19,5.144967714,5,6.520641411,43,52.54140627
Olivia Brown,Stanford University,23,3.25096396,4,7.155024968,45,21.53793863
Lucas Wilson,Stanford University,21,4.076556963,4,6.924071248,39,38.86762191
Elijah Wilson,University of Cambridge,20,3.811250155,3,6.20830163,44,29.50130959
Isabella Wilson,Stanford University,18,6,6,8.180622812,47,47.34870748
Mason Jones,Harvard University,18,4.619574911,4,7.151063837,41,37.64674872
Ava Martinez,University of Oxford,19,3.372082409,2,6.428138292,39,39.31141087
Noah Jones,Massachusetts Institute of Technology,18,2.544459559,9,5.434492667,41,0
Liam Smith,ETH Zurich,24,1.89355368,5,5.927685984,42,3.49320285
Emma Martinez,Harvard University,23,3.703463636,9,5.030343861,43,0
Elijah Miller,Massachusetts Institute of Technology,26,2.743649255,5,7.014668258,41,9.125272228
Emma Williams,University of Cambridge,20,2.07774629,5,5.564001289,45,0
Liam Wilson,University of Cambridge,20,2.853427116,1,6.681327385,40,34.58701058
Noah Jones,ETH Zurich,21,2.418451996,5,8.644122224,39,0
Liam Jones,Massachusetts Institute of Technology,20,5.187141635,8,8.439159488,44,28.15645136
Lucas Davis,University of Melbourne,21,4.381639757,6,6.961267727,37,28.72059219
Ava Smith,University of Toronto,24,3.492027359,2,6.895498329,42,37.20554767
Liam Brown,Stanford University,20,4.979944139,5,9.255849459,48,24.81796546
Emma Williams,ETH Zurich,18,3.577368308,5,7.624907344,42,23.25568132
Liam Wilson,University of Oxford,19,2.638715799,4,6.606632248,40,23.50790161
Noah Wilson,Massachusetts Institute of Technology,20,5.023124077,6,5.288778259,42,22.09909
Emma Miller,University of Oxford,26,4.038910044,5,7.472647862,42,37.69818789
Isabella Johnson,Harvard University,19,2.462753846,6,7.995188527,42,0
Noah Garcia,Stanford University,25,3.309661322,5,6.242018171,43,11.30664055
Elijah Brown,Stanford University,22,2.624381747,4,7.349443306,40,10.83718916
Isabella Smith,University of Melbourne,22,2.117200269,7,6.563712046,45,0
Mason Miller,Harvard University,18,4.426177548,5,6.779161121,42,36.95439159
Liam Garcia,ETH Zurich,18,5.40941664,7,4.014613531,43,0
Ava Williams,Massachusetts Institute of Technology,25,2.101432426,6,6.733862316,41,0.149213798
Noah Smith,Stanford University,22,4.062969237,4,8.163243163,45,33.90945276
Olivia Davis,University of Melbourne,26,2.849357431,8,6.242316933,41,0
Elijah Miller,Massachusetts Institute of Technology,21,3.012874616,4,7.063031642,43,25.26278142
Sophia Brown,Harvard University,18,2.907606076,3,6.092859152,40,20.57485318
Sophia Garcia,Harvard University,23,2.63600923,5,7.432530012,40,2.719187962
Sophia Williams,University of Oxford,20,3.548521628,10,6.740172163,43,0
Mason Jones,University of Oxford,24,2.669049884,6,5.872910151,41,3.730814102
Lucas Wilson,University of Melbourne,26,3.770456826,4,8.599061761,40,24.43476186
Ava Brown,Massachusetts Institute of Technology,22,3.449761891,3,8.114718416,41,32.70341815
Noah Brown,ETH Zurich,24,3.261051953,3,6.274111883,43,29.79587643
Ava Garcia,University of Cambridge,23,2.592436338,5,7.597345971,41,8.331735274
Liam Wilson,ETH Zurich,21,2.923228669,2,7.644894403,42,28.89234237
Mason Jones,ETH Zurich,19,4.255391226,6,7.770761482,42,27.83019532
Sophia Johnson,University of Toronto,26,4.000917188,2,4.966892925,38,23.93534683
Noah Johnson,University of Melbourne,23,2.522444755,5,8.207927849,39,3.255108417
Liam Johnson,University of Melbourne,19,3.599332305,2,6.316361244,43,39.81887367
Isabella Smith,ETH Zurich,23,4.251387123,6,6.57060648,41,26.89908817
Elijah Wilson,ETH Zurich,24,1.830594719,3,10,44,0
Emma Garcia,Stanford University,24,4.043360192,5,7.362248057,44,27.01849077
Sophia Garcia,University of Melbourne,24,2.837376241,2,6.536413029,43,31.72894957
Elijah Martinez,Massachusetts Institute of Technology,25,4.070598669,6,4.353646753,46,0
Elijah Miller,University of Toronto,23,2.736740843,6,8.667716961,42,0
Sophia Wilson,University of Melbourne,21,1.695117899,7,5.385748395,43,0
Sophia Wilson,University of Toronto,26,1.872457562,6,5.795873316,41,0
Lucas Johnson,University of Melbourne,18,3.548084947,6,6.602377241,47,17.2867831
Lucas Jones,University of Toronto,19,3.759722502,4,8.69969415,46,29.45022406
Mason Davis,Stanford University,24,2.595683375,4,7.927887984,42,14.07651598
Sophia Jones,Harvard University,24,4.138592459,7,6.810594988,43,8.732452442
Sophia Miller,University of Melbourne,21,1.838479938,5,7.369950476,45,0
Mason Wilson,University of Oxford,26,3.433920201,5,6.279537169,42,23.84804216
Elijah Martinez,University of Toronto,20,2.2889838,8,7.167584427,41,0
Lucas Brown,University of Toronto,24,2.848163892,4,7.088004094,44,16.25003562
Olivia Williams,Massachusetts Institute of Technology,24,3.547398671,2,8.162523875,42,32.8989612
Mason Miller,University of Cambridge,23,2.639586635,3,8.160613747,42,20.72997026
Lucas Jones,ETH Zurich,24,3.115444456,4,7.592772859,40,24.21940712
Olivia Davis,University of Melbourne,22,4.506292809,6,6.565182931,39,28.0275403
Isabella Davis,ETH Zurich,19,2.92310813,9,7.890186753,42,0
Emma Davis,University of Oxford,21,4.335692112,3,6.889637841,44,42.00249007
Ava Davis,University of Cambridge,19,2.370293145,5,5.701702758,42,0
Isabella Garcia,University of Melbourne,21,4.029804178,3,6.51605465,45,44.13642096
Elijah Davis,University of Oxford,19,4.941568621,2,7.101432381,41,63.48128758
Elijah Smith,University of Toronto,26,1.0283555,4,8.09225894,40,0
Isabella Smith,Massachusetts Institute of Technology,25,2.703104745,9,6.779766193,42,0
Emma Smith,Stanford University,24,4.077072127,4,5.548961547,42,26.14753795
Ava Brown,University of Cambridge,18,3.296954614,5,7.06809002,44,13.02671651
Mason Brown,Harvard University,23,3.871145873,8,7.136147248,40,8.381314211
Emma Brown,University of Melbourne,25,2.896014813,8,7.223005155,45,1.368116032
Isabella Jones,Massachusetts Institute of Technology,24,3.586589787,5,8.103845819,46,14.3112231
Sophia Miller,University of Cambridge,23,3.344322765,3,8.222707888,42,32.61629189
Mason Jones,Massachusetts Institute of Technology,21,4.667782062,9,6.286946953,44,18.58019165
Liam Jones,Harvard University,25,3.754420843,2,6.26062785,40,42.85008863
Isabella Wilson,ETH Zurich,26,3.837602662,8,5.751761547,44,0
Emma Davis,Massachusetts Institute of Technology,23,3.088123034,7,7.838578804,44,7.068992018
Noah Johnson,University of Oxford,24,3.012393776,6,8.73858413,44,0.574561531
Emma Davis,University of Oxford,19,3.067441812,9,6.621901687,42,0
Elijah Davis,Stanford University,25,3.894452142,3,6.710283322,36,40.7503175
Emma Miller,ETH Zurich,25,3.079015519,6,8.760139068,41,0
Emma Martinez,Stanford University,25,3.789774857,7,7.606669424,41,0
Ava Wilson,Harvard University,19,5.575400799,7,7.523482846,40,42.66259059
Noah Martinez,ETH Zurich,21,4.371124703,5,5.570900193,42,22.17918478
Sophia Martinez,University of Toronto,26,3.173976468,5,7.814473683,41,16.26278496
Lucas Jones,University of Cambridge,19,4.701213922,1,5.885036391,40,52.90388065
Lucas Williams,ETH Zurich,23,3.091924627,7,5.639175777,40,0.60167777
Lucas Johnson,Massachusetts Institute of Technology,21,1.461875465,4,6.583874108,41,0
Lucas Wilson,Massachusetts Institute of Technology,25,2.491913689,7,6.297048732,44,0
Noah Johnson,Harvard University,19,1.629208079,5,6.734080367,41,0
Sophia Brown,University of Melbourne,25,3.148486516,5,5.270822039,41,1.931314803
Ava Davis,University of Oxford,26,3.518418379,3,8.150579568,41,25.2813654
Isabella Martinez,University of Oxford,25,5.176437312,5,8.353223553,43,43.47322246
Liam Wilson,Massachusetts Institute of Technology,22,3.826927374,5,4.663189031,43,3.034135697
Mason Davis,University of Oxford,24,3.280899471,4,8.174149367,36,15.32398609
Emma Garcia,University of Toronto,23,4.329405581,3,6.027365644,44,43.52287724
Sophia Johnson,University of Melbourne,24,1.288864691,3,8.028370644,45,8.938458482
Sophia Wilson,University of Toronto,23,3.735614558,5,6.917864209,40,27.77131858
Olivia Davis,University of Melbourne,24,4.270865194,10,7.034530677,40,12.10455387
Lucas Smith,University of Melbourne,18,2.021413754,2,6.777882821,41,14.5563764
Isabella Martinez,University of Cambridge,23,4.643754043,5,8.454555045,40,20.56317943
Noah Wilson,University of Oxford,26,3.838496407,3,5.512494385,42,29.20803038
Olivia Williams,University of Melbourne,19,3.084712086,4,7.729408406,38,22.94891395
Liam Martinez,University of Toronto,23,4.132781866,6,8.321596198,40,12.13725584
Lucas Johnson,Harvard University,18,5.770692858,3,7.859608097,45,66.36259843
Mason Jones,ETH Zurich,18,3.681866255,4,9.789638697,40,0
Lucas Garcia,Stanford University,24,3.748220586,4,6.365263885,44,33.60178641
Isabella Garcia,Massachusetts Institute of Technology,20,3.0406391,5,8.148765787,43,10.46056677
Emma Johnson,Massachusetts Institute of Technology,22,2.650155631,8,6.872691238,38,0
Elijah Miller,Massachusetts Institute of Technology,20,4.330335817,5,8.480087292,43,25.31643695
Lucas Brown,ETH Zurich,25,2.643916174,6,6.990773205,42,0
Isabella Johnson,Harvard University,24,3.571566237,3,6.534549062,41,36.45609443
Isabella Johnson,University of Melbourne,25,3.022342553,4,8.567286645,42,11.682153
Mason Smith,ETH Zurich,20,3.978979826,5,6.410125673,43,31.03721102
Elijah Jones,Massachusetts Institute of Technology,22,3.833662105,6,5.304729089,43,7.940030744
Lucas Garcia,Harvard University,20,4.537539944,7,6.37978374,44,31.17424956
Mason Smith,University of Cambridge,19,2.989983601,5,7.742839536,43,9.947182489
Mason Martinez,University of Toronto,20,3.230125065,2,8.670446502,39,28.53728317
Ava Brown,Massachusetts Institute of Technology,19,2.521236284,6,7.13335525,41,3.783304649
Olivia Miller,Harvard University,23,3.05570674,4,8.581836481,48,10.93172333
Elijah Wilson,ETH Zurich,18,3.877300493,2,5.370190094,43,27.44915875
Sophia Martinez,University of Toronto,22,4.256988617,4,6.468083842,47,35.86049395
Isabella Wilson,Massachusetts Institute of Technology,18,2.577834676,2,6.653709859,45,27.85971894
Sophia Williams,University of Cambridge,21,4.36960592,3,6.862528687,42,47.29640887
Mason Miller,University of Cambridge,20,4.855637859,4,7.100913266,43,43.41919885
Olivia Johnson,Massachusetts Institute of Technology,20,3.913434903,7,7.829093149,42,13.69593378
Olivia Brown,Harvard University,26,5.376795813,5,6.466231794,39,53.78580289
Lucas Williams,University of Melbourne,25,2.726210801,5,7.166834424,42,9.070187344
Liam Garcia,University of Oxford,25,2.255345297,7,6.945852532,44,0
Elijah Miller,ETH Zurich,26,1.721279751,9,5.888932115,41,0
Noah Johnson,University of Oxford,22,4.996044311,7,6.863599973,43,29.52003513
Emma Martinez,University of Oxford,23,4.154365656,6,6.827608564,44,23.69289429
Ava Davis,ETH Zurich,21,3.444415329,6,6.801903322,40,9.56983105
Lucas Johnson,University of Toronto,18,3.779968626,9,7.038111348,41,1.697891422
Liam Smith,University of Toronto,20,2.374510953,2,7.090808249,40,26.90695856
Emma Smith,Stanford University,23,5.94575198,3,6.481245785,40,73.76615609
Liam Davis,Harvard University,21,3.629221182,9,8.527257681,39,0
Olivia Martinez,University of Toronto,18,3.609394795,3,5.596623245,40,30.24865753
Mason Brown,University of Melbourne,19,4.225766624,8,6.13483587,45,17.36049864
Sophia Brown,University of Oxford,23,3.981009232,5,10,40,0
Sophia Wilson,Massachusetts Institute of Technology,21,3.723884024,4,5.754410374,42,26.19756236
Liam Davis,Massachusetts Institute of Technology,20,2.709525545,9,5.37549439,41,0
Lucas Garcia,Stanford University,25,3.971468357,2,7.881372094,44,48.714463
Noah Miller,University of Melbourne,23,5.382024496,5,4.507456175,45,9.531459964
Ava Martinez,Stanford University,21,4.845420046,10,6.717671308,44,14.54256863
Ava Jones,University of Cambridge,23,5.093186627,5,9.57498991,43,15.93455708
Lucas Brown,University of Toronto,23,2.988784324,4,5.146076893,42,0
Liam Wilson,ETH Zurich,20,2.51039518,7,4.621642617,40,0
Emma Johnson,University of Melbourne,23,3.37421308,3,5.200982558,46,10.05831801
Elijah Smith,University of Melbourne,24,3.555724912,6,8.078031482,40,13.17938351
Liam Brown,University of Oxford,20,4.594191518,3,8.349732064,43,47.23172828
Isabella Johnson,University of Oxford,23,1.80753537,3,6.384893444,44,12.21494858
Mason Davis,Harvard University,20,5.029550319,4,7.819854885,41,48.51176008
Elijah Williams,University of Cambridge,26,3.341992101,1,8.668306393,44,30.32445404
Isabella Johnson,Massachusetts Institute of Technology,21,3.07311893,2,9.144815697,44,13.65471503
Liam Wilson,ETH Zurich,25,2.487895625,4,6.704397663,45,22.44073927
Isabella Miller,ETH Zurich,22,1.845143328,5,4.238233939,41,0
Noah Miller,University of Toronto,25,4.323170584,8,6.014945293,39,15.91552233
Lucas Smith,ETH Zurich,25,3.573317967,7,6.487834966,41,11.489741
Liam Miller,University of Toronto,20,2.2100391,7,6.689273444,42,0
Ava Williams,Massachusetts Institute of Technology,22,2.204921228,2,6.774568719,42,29.78376415
Elijah Miller,University of Toronto,22,3.164215301,6,8.342673518,41,0
Elijah Garcia,University of Cambridge,19,5.169021525,8,8.529314112,38,15.60069684
Ava Williams,University of Cambridge,19,3.240408649,6,6.793991615,43,13.20591676
Sophia Brown,Harvard University,21,1.996857047,4,8.318181851,46,0
Sophia Garcia,University of Oxford,20,3.254256936,4,7.42919364,43,17.47323114
Lucas Martinez,ETH Zurich,19,3.22727643,4,7.077407167,43,31.4481223
Olivia Williams,Stanford University,26,0.803113357,1,8.087852989,43,0
Olivia Miller,Harvard University,24,3.445705133,6,7.086702458,43,8.454217399
Elijah Johnson,University of Cambridge,20,3.26906547,8,9.469373413,44,0
Mason Jones,University of Melbourne,21,4.196206365,7,5.2739066,43,3.984015865
Elijah Davis,University of Toronto,24,5.348956095,7,6.381794921,41,37.16106718
Ava Williams,Stanford University,24,4.62656503,6,6.848177324,40,34.37330276
Isabella Smith,University of Melbourne,21,3.231111309,6,7.527343229,42,8.108631237
Noah Garcia,University of Melbourne,25,2.393474091,4,8.521552585,43,6.9810197
Noah Martinez,Harvard University,21,6,3,6.970721719,41,76.88715402
Ava Martinez,University of Oxford,24,3.559218434,6,5.293324421,43,0
Olivia Williams,Stanford University,26,3.513929292,3,8.011016676,43,30.65565044
Isabella Miller,Massachusetts Institute of Technology,25,3.475874913,10,7.905950519,44,0
Olivia Brown,Harvard University,19,3.698084761,5,4.669769609,45,0
Mason Brown,University of Cambridge,20,3.355639588,6,6.99543504,42,11.11169883
Sophia Smith,Stanford University,18,2.926337993,6,5.091829803,39,0
Sophia Williams,University of Oxford,19,2.953141059,4,6.202418683,41,14.9322407
Noah Davis,Harvard University,19,3.46724673,6,5.916629288,42,10.60237432
Elijah Garcia,University of Melbourne,20,2.956575229,5,7.971117638,38,11.66455704
Sophia Jones,University of Oxford,21,2.787154217,3,7.140196209,45,19.19688433
Isabella Garcia,Massachusetts Institute of Technology,21,3.606430228,2,5.457290799,42,32.23434215
Isabella Garcia,Stanford University,24,3.245022783,3,8.056079156,43,38.94869488
Olivia Davis,Harvard University,25,5.003992989,2,5.279433011,45,58.21807359
Elijah Martinez,University of Cambridge,18,0.849030192,8,7.396136549,41,0
Emma Brown,ETH Zurich,21,4.591506852,7,6.023187197,43,19.51802728
Ava Brown,University of Toronto,25,4.746085192,4,6.561187501,42,42.1545005
Sophia Garcia,University of Oxford,22,1.426609768,3,7.605124898,42,0
Sophia Williams,Harvard University,22,3.157312406,3,7.625739279,40,26.84409408
Elijah Wilson,Stanford University,25,3.128559134,6,8.604362888,45,0
Isabella Miller,Massachusetts Institute of Technology,22,2.092488305,5,6.90129556,41,1.469271356
Emma Johnson,Stanford University,25,2.722183312,1,7.367741036,43,37.16542542
Liam Williams,Stanford University,18,2.389424155,8,6.474715213,38,0
Liam Davis,University of Toronto,22,5.252270443,9,7.218387859,44,26.96584363
Lucas Williams,University of Toronto,24,4.435678393,4,7.527383258,44,43.60363691
Emma Wilson,University of Cambridge,22,4.771555095,7,6.882028183,42,25.00628382
Liam Garcia,University of Oxford,20,4.221672064,3,4.835499419,42,22.98130265
Elijah Garcia,University of Cambridge,24,2.370948229,7,7.397765076,43,0
Olivia Brown,University of Toronto,20,2.975479734,5,7.437473773,47,15.00773454
Mason Smith,Massachusetts Institute of Technology,22,3.989374561,6,6.183791828,38,23.90967401
Elijah Williams,University of Oxford,23,2.277872191,8,5.458735557,44,0
Elijah Miller,Stanford University,26,4.21299843,2,8.771054981,40,34.78108732
Ava Johnson,University of Cambridge,18,3.259674602,4,7.589734613,42,25.94047606
Isabella Martinez,ETH Zurich,26,3.125179192,9,6.725102763,42,0
Sophia Miller,University of Toronto,21,4.210959968,4,5.63556054,41,35.88758846
Noah Miller,University of Oxford,19,3.944263311,4,6.013822206,42,25.20579826
Ava Smith,Massachusetts Institute of Technology,20,3.139033834,3,8.563108476,40,21.5728447
Liam Garcia,University of Toronto,26,4.659329803,4,7.165194329,44,49.44436564
Mason Johnson,ETH Zurich,19,2.418936672,4,6.33929552,38,16.29627305
Isabella Smith,University of Cambridge,25,4.115935607,6,7.611627077,43,22.57197952
Isabella Smith,University of Cambridge,24,4.093101258,7,6.022722175,41,12.79957552
Sophia Brown,University of Cambridge,18,3.190453561,3,8.801011636,40,10.24356589
Olivia Johnson,ETH Zurich,24,3.826133022,6,8.623360642,42,14.96218831
Mason Smith,ETH Zurich,21,2.248886424,8,6.440111115,39,0
Liam Williams,University of Oxford,19,4.424027019,7,6.245595704,42,22.89425226
Emma Johnson,University of Cambridge,18,3.315097864,3,3.858240162,39,0
Emma Brown,University of Cambridge,25,2.977276979,4,5.222103074,43,7.32735789
Emma Smith,Stanford University,21,4.549009226,6,5.39263627,40,16.62045861
Lucas Garcia,University of Toronto,23,2.795656309,8,7.162228409,41,0
Ava Miller,University of Cambridge,23,2.091538704,3,6.608519555,43,6.164767657
Sophia Brown,ETH Zurich,25,1.943370826,4,5.385597415,40,0
Liam Williams,Harvard University,18,4.106009951,3,6.662603149,42,40.8198388
Lucas Brown,University of Toronto,22,2.219570648,8,7.606404577,39,0
Liam Davis,ETH Zurich,19,5.254794182,1,7.63340722,43,71.04303654
Noah Smith,ETH Zurich,19,1.418070592,3,4.720395663,46,0
Ava Smith,ETH Zurich,20,5.196456368,7,6.846083823,48,39.34899103
Olivia Brown,University of Cambridge,22,3.711017467,5,5.339991068,42,12.51960087
Olivia Jones,University of Toronto,26,3.403286888,9,8.082074437,44,0
Elijah Williams,University of Cambridge,21,2.955080913,5,7.9409757,38,11.00142865
Elijah Wilson,Massachusetts Institute of Technology,22,3.899136114,4,5.922367328,45,23.75271961
